pH,log_a_Hplus,logfO2,converged,wlm_mol,wlm_present
8.0000,-8.0000,-34.0000,1,9.8749979336456875e+00,1
8.0000,-8.0000,-32.0000,1,9.8749979336456892e+00,1
8.0000,-8.0000,-30.0000,1,9.8749979336456910e+00,1
8.0000,-8.0000,-28.0000,1,9.8749979336456928e+00,1
8.0000,-8.0000,-26.0000,1,9.8749979336456946e+00,1
8.0000,-8.0000,-24.0000,1,9.8749979336456963e+00,1
8.0000,-8.0000,-22.0000,1,9.8749979336456981e+00,1
8.0000,-8.0000,-20.0000,1,9.8749979336456999e+00,1
8.0000,-8.0000,-18.0000,1,9.8749979336457017e+00,1
8.0000,-8.0000,-16.0000,1,9.8749979336457034e+00,1
8.0000,-8.0000,-14.0000,1,9.8749979336457052e+00,1
8.0000,-8.0000,-12.0000,1,9.8749979336457070e+00,1
8.0000,-8.0000,-10.0000,1,9.8749979336457088e+00,1
