T_C,P_kb,rho_model_gcm3,rho_truth_gcm3,drho_gcm3,eps_model,eps_truth,deps,G0_H2O_model_cal,G0_H2O_truth_cal,dG0_H2O_cal,G0_CO2_model_cal,G0_CO2_truth_cal,dG0_CO2_cal,G0_H+_model_cal,G0_H+_truth_cal,dG0_H+_cal,G0_HCO3-_model_cal,G0_HCO3-_truth_cal,dG0_HCO3-_cal,DeltaGro_model_cal,DeltaGro_truth_cal,dDeltaGro_cal,logK_model,logK_truth,dlogK,V0_H2O_model_cm3,V0_H2O_truth_cm3,dV0_H2O_cm3,V0_CO2_model_cm3,V0_CO2_truth_cm3,dV0_CO2_cm3,V0_H+_model_cm3,V0_H+_truth_cm3,dV0_H+_cm3,V0_HCO3-_model_cm3,V0_HCO3-_truth_cm3,dV0_HCO3-_cm3,DeltaVr_model_cm3,DeltaVr_truth_cm3,dDeltaVr_cm3
600,15,1.05741,1.05741,9.31319e-08,22.1789,22.1788,2.88563e-06,-65180,-65177.7,-2.22255,-105058,-105060,1.46338,0,0,0,-145720,-145718,-2.32915,24518,24519.6,-1.56998,-6.13675,-6.14124,0.00449341,17.0369,17.0372,-0.000266299,32.002,32.002,-1.20387e-06,0,0,0,28.6105,28.6105,1.91611e-06,-20.4284,-20.4287,0.000269419
650,15,1.0381,1.0381,-7.45055e-08,20.0611,20.0611,-2.11149e-06,-66740.2,-66737.7,-2.5061,-107482,-107484,1.33347,0,0,0,-147197,-147195,-2.12239,27025.8,27026.7,-0.949762,-6.39805,-6.40255,0.00449977,17.3538,17.354,-0.000268477,32.2649,32.2649,1.08844e-06,0,0,0,28.1876,28.1876,-1.73238e-06,-21.4311,-21.4313,0.000265656
700,15,1.01922,1.01922,-1.11758e-07,18.2006,18.2007,-2.90027e-06,-68344.7,-68341.9,-2.76956,-109957,-109958,1.20418,0,0,0,-148661,-148659,-1.9166,29640.9,29641.2,-0.351214,-6.65661,-6.66114,0.00452646,17.6754,17.6756,-0.000272783,32.5468,32.5468,1.83539e-06,0,0,0,27.735,27.735,-2.92125e-06,-22.4872,-22.4875,0.000268026
750,15,1.00078,1.00078,-1.11758e-07,16.5617,16.5617,-2.65893e-06,-69992.7,-69989.7,-3.01524,-112482,-112483,1.07508,0,0,0,-150110,-150109,-1.71113,32364.3,32364.1,0.229032,-6.91304,-6.91761,0.0045699,18.001,18.0013,-0.000277772,32.8473,32.8473,2.05292e-06,0,0,0,27.2532,27.2532,-3.26748e-06,-23.5951,-23.5954,0.000272452
800,15,0.98281,0.98281,-3.72528e-08,15.1141,15.1141,-8.13513e-07,-71681.3,-71678.1,-3.24711,-115056,-115057,0.946556,0,0,0,-151543,-151541,-1.50656,35194.2,35193.4,0.793997,-7.16725,-7.17188,0.00462691,18.3301,18.3304,-0.000284203,33.1658,33.1658,7.617e-07,0,0,0,26.7433,26.7433,-1.21234e-06,-24.7526,-24.7529,0.000282229
850,15,0.96533,0.96533,3.72528e-08,13.8324,13.8324,7.47576e-07,-73405.9,-73402.4,-3.46825,-117678,-117679,0.818136,0,0,0,-152957,-152956,-1.30217,38126.7,38125.4,1.34795,-7.4188,-7.42349,0.00469431,18.662,18.6623,-0.000290776,33.5014,33.5014,-8.4384e-07,0,0,0,26.2065,26.2065,1.34308e-06,-25.9569,-25.9572,0.000292963
900,15,0.948344,0.948344,3.72528e-08,12.6947,12.6947,6.87781e-07,-75160.6,-75156.9,-3.68086,-120347,-120348,0.689147,0,0,0,-154351,-154350,-1.09686,41156.3,41154.4,1.89485,-7.66698,-7.67175,0.00476937,18.9963,18.9966,-0.000295998,33.8529,33.8529,-9.30509e-07,0,0,0,25.6447,25.6447,1.48102e-06,-27.2045,-27.2048,0.000298409
950,15,0.931855,0.931855,-7.45055e-08,11.6827,11.6827,-1.26697e-06,-76939,-76935.1,-3.88656,-123063,-123063,0.559046,0,0,0,-155725,-155725,-0.889791,44276.1,44273.6,2.43772,-7.911,-7.91585,0.00484978,19.3324,19.3327,-0.00029893,34.2189,34.2189,2.04279e-06,0,0,0,25.0601,25.0601,-3.25135e-06,-28.4912,-28.4915,0.000293636
1000,15,0.915859,0.915859,7.45055e-08,10.7804,10.7804,1.16824e-06,-78733.8,-78729.7,-4.08651,-125823,-125824,0.431575,0,0,0,-157079,-157078,-0.686905,47478,47475.1,2.96803,-8.14995,-8.15489,0.00493546,19.6701,19.6704,-0.000307324,34.5976,34.5976,-2.23218e-06,0,0,0,24.4554,24.4554,3.55279e-06,-29.8122,-29.8125,0.000313109
300,20,1.23935,1.23935,-1.11758e-07,46.8689,46.8689,-6.17703e-06,-54971.1,-54969.5,-1.65465,-87930,-87932.3,2.23679,0,0,0,-133172,-133169,-3.56013,9728.96,9733.11,-4.14227,-3.70971,-3.71377,0.00405912,14.5358,14.536,-0.000224614,30.4833,30.4833,4.06932e-07,0,0,0,30.9501,30.9501,-6.47682e-07,-14.069,-14.0692,0.000223559
350,20,1.22068,1.22068,3.72528e-08,41.6341,41.6341,1.87696e-06,-56210.5,-56208.8,-1.7418,-90010.4,-90012.5,2.10808,0,0,0,-134680,-134677,-3.35528,11540.9,11544.7,-3.72157,-4.04753,-4.05154,0.00401037,14.7582,14.7585,-0.000229832,30.5664,30.5664,-1.58548e-07,0,0,0,30.7888,30.7888,2.52349e-07,-14.5357,-14.536,0.000230242
400,20,1.20213,1.20213,5.58791e-08,37.1595,37.1595,2.56743e-06,-57513.2,-57511.4,-1.85559,-92143,-92144.9,1.97913,0,0,0,-136208,-136205,-3.15003,13447.9,13451.1,-3.27357,-4.366,-4.36998,0.00398059,14.9859,14.9861,-0.000233616,30.6628,30.6628,-2.74598e-07,0,0,0,30.6127,30.6127,4.37057e-07,-15.036,-15.0362,0.000234328
